37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,38,37,38,37,38,37,38
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,1,1,1,1,1,1,1,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,1,29,28,29,28,29
37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,1,1,1,1,16,.,.,.,.,.,.,.,15,1,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,1,1,38
28,29,28,29,28,29,28,29,28,29,28,29,28,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,1,1,1,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,16,.,.,.,.,.,.,.,.,.,.,*,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,15
1,1,1,1,1,1,1,1,1,1,1,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,28,28,28,38,37,38,37,38,37,38,37,1,16,.,.,.,.,.,|,*,.,.,.,22,23,24,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,*,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,1,1,1,1,1,1,1,1,16,.,.,.,.,.,.,22,23,24,.,.,.,31,32,33,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.,!,.,*,.,.,.,%,.,.,.,!,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,!,.,.,%,.,.,.,.,.,!,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,6,9,9,9,9,9,9,9,9,9,9,9,7,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,7,.,.,.,.,.,.,.,.,!,.,.,.,.,.,.,%,.,.,.,!,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.,.,.,.,11,37,38,37,38,37,38,37,38,37,38,37,38,9,9
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,28,7,.,.,.,.,.,.,.,.,*,|,.,6,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.,.,.,.,2,28,29,28,29,28,29,28,29,28,29,28,29,28,29
.,.,@,.,.,.,.,.,.,.,.,.,.,.,*,.,.,.,2,38,37,7,.,.,.,.,.,6,9,9,9,9,37,38,9,9,9,9,7,.,.,|,|,.,.,.,.,.,.,.,.,!,.,.,.,.,.,%,.,.,.,!,.,.,|,.,.,.,.,.,.,.,.,.,6,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38
.,.,.,.,.,!,.,.,%,.,.,!,.,43,44,.,.,.,11,29,28,17,.,.,.,.,.,15,28,29,28,29,28,29,28,29,28,29,28,9,9,9,9,9,9,7,.,.,.,.,.,.,.,.,.,.,|,|,.,.,.,.,22,23,24,.,.,.,.,.,.,.,.,.,11,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
.,.,.,.,.,.,6,7,.,.,.,.,.,.,.,.,.,.,2,38,37,38,7,.,.,.,.,.,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,9,7,.,.,.,.,.,.,.,.,22,23,24,.,.,.,31,32,33,.,.,!,.,.,%,.,.,!,2,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38
9,9,9,9,9,9,28,28,9,7,.,.,.,.,.,.,*,#,11,29,28,29,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,*,11,28,29,7,.,.,.,.,.,.,.,31,32,33,.,.,.,.,.,.,.,.,.,.,.,.,.,*,6,29,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
38,37,38,37,38,37,38,37,38,37,7,.,.,.,.,.,.,6,37,38,37,38,37,7,!,.,.,.,.,.,.,.,.,.,.,%,.,.,.,.,!,.,.,.,.,2,37,38,37,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,38,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38
29,28,29,28,29,28,29,28,29,28,29,7,.,.,.,.,.,11,28,29,28,29,28,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,*,.,|,6,28,28,29,28,29,9,7,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,22,23,24,.,.,6,28,29,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
38,37,38,37,38,37,38,37,38,37,38,37,7,.,|,.,6,38,37,38,37,38,37,38,7,.,.,|,|,|,.,.,#,.,.,.,*,.,.,.,.,.,6,10,37,38,37,38,37,38,37,38,7,.,|,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,11,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38
29,28,29,28,29,28,29,28,29,28,29,28,29,10,10,10,28,29,28,29,28,29,28,29,28,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,38,37,28,29,28,29,28,29,28,29,28,9,7,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,6,37,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
29,28,29,28,29,28,29,28,29,28,29,28,29,28,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,28,29,28,29,28,29,28,29,28,29,28,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,38
